nombre,popularidad,genero,cantidad_albumes,mejor_pista,album_mejor_pista,año_mejor_pista
Budapest Symphony Orchestra,47,classical,50,"21 Hungarian Dances, WoO 1 (version for orchestra): Hungarian Dance No. 5 (orch. Schmeling)",Brahms: Hungarian Dances Nos. 1-21,1988
Budapest Symphony Orchestra,47,orchestra,50,"21 Hungarian Dances, WoO 1 (version for orchestra): Hungarian Dance No. 5 (orch. Schmeling)",Brahms: Hungarian Dances Nos. 1-21,1988
Katia Labèque,51,minimalism,34,"Dolly Suite, Op. 56: I. Berceuse",Fauré: Dolly Suite; Nocturnes; Barcarolles; Impromptus,2015
Katia Labèque,51,classical piano,34,"Dolly Suite, Op. 56: I. Berceuse",Fauré: Dolly Suite; Nocturnes; Barcarolles; Impromptus,2015
Katia Labèque,51,classical,34,"Dolly Suite, Op. 56: I. Berceuse",Fauré: Dolly Suite; Nocturnes; Barcarolles; Impromptus,2015
Michael Tilson Thomas,49,minimalism,50,Carmina Burana: O Fortuna,Orff: Carmina Burana,1975
Michael Tilson Thomas,49,classical,50,Carmina Burana: O Fortuna,Orff: Carmina Burana,1975
George Gershwin,49,ragtime,50,Summertime,The Gold Edition,2014
Pinchas Zukerman,48,chamber music,50,"Adagio in E Major, K. 261",Mozart: Works for Violin & Orchestra,1982
Pinchas Zukerman,48,classical,50,"Adagio in E Major, K. 261",Mozart: Works for Violin & Orchestra,1982
Esa-Pekka Salonen,49,classical,50,Salonen Cello Concerto: I.,Salonen Cello Concerto,2019
Francisco Tárrega,48,tango,45,Recuerdos de la Alhambra,Spanish Guitar Music,1974
Wiener Symphoniker,48,christmas,50,"3 Old Viennese Dances: No. 2, Liebesleid (Transcr. for Violin and Orchestra)",Beethoven and Beyond,2023
Wiener Symphoniker,48,opera,50,"3 Old Viennese Dances: No. 2, Liebesleid (Transcr. for Violin and Orchestra)",Beethoven and Beyond,2023
Wiener Symphoniker,48,orchestra,50,"3 Old Viennese Dances: No. 2, Liebesleid (Transcr. for Violin and Orchestra)",Beethoven and Beyond,2023
Mao Fujita,49,classical piano,9,"Ave verum corpus, K.618 (Arr. for Piano by Franz Liszt)",Mozart Sleep,2025
Mao Fujita,49,classical,9,"Ave verum corpus, K.618 (Arr. for Piano by Franz Liszt)",Mozart Sleep,2025
Mari Samuelsen,50,neoclassical,6,November,Voyager - Essential Max Richter,2019
Janine Jansen,49,classical,18,"Souvenir d'un lieu cher, Op. 42 (Arr. Lascae for Violin & String Orchestra): III. Mélodie","Tchaikovsky: Violin Concerto & Souvenir, Op. 42",2008
