nombre,popularidad,genero,cantidad_albumes,mejor_pista,album_mejor_pista,año_mejor_pista
Ludovico Einaudi,79,neoclassical,46,Experience,In A Time Lapse,2013
Ludovico Einaudi,79,classical,46,Experience,In A Time Lapse,2013
Johann Sebastian Bach,78,classical,50,"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude","Bach: Cello Suites Nos. 1, 5 & 6",1983
Johann Sebastian Bach,78,classical piano,50,"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude","Bach: Cello Suites Nos. 1, 5 & 6",1983
Wolfgang Amadeus Mozart,77,classical,50,"Requiem in D Minor, K. 626: Sequence: VI. Lacrimosa dies illa","Mozart: Requiem / Exultate, Jubilate / Laudate Dominum",1995
Wolfgang Amadeus Mozart,77,requiem,50,"Requiem in D Minor, K. 626: Sequence: VI. Lacrimosa dies illa","Mozart: Requiem / Exultate, Jubilate / Laudate Dominum",1995
Wolfgang Amadeus Mozart,77,opera,50,"Requiem in D Minor, K. 626: Sequence: VI. Lacrimosa dies illa","Mozart: Requiem / Exultate, Jubilate / Laudate Dominum",1995
Wolfgang Amadeus Mozart,77,classical piano,50,"Requiem in D Minor, K. 626: Sequence: VI. Lacrimosa dies illa","Mozart: Requiem / Exultate, Jubilate / Laudate Dominum",1995
Wolfgang Amadeus Mozart,77,chamber music,50,"Requiem in D Minor, K. 626: Sequence: VI. Lacrimosa dies illa","Mozart: Requiem / Exultate, Jubilate / Laudate Dominum",1995
London Symphony Orchestra,75,classical,50,"Tchaikovsky: Swan Lake, Op. 20, Act 2: No. 10, Scene. Moderato",Tchaikovsky: Swan Lake,1976
London Symphony Orchestra,75,orchestra,50,"Tchaikovsky: Swan Lake, Op. 20, Act 2: No. 10, Scene. Moderato",Tchaikovsky: Swan Lake,1976
London Symphony Orchestra,75,opera,50,"Tchaikovsky: Swan Lake, Op. 20, Act 2: No. 10, Scene. Moderato",Tchaikovsky: Swan Lake,1976
Frédéric Chopin,75,classical piano,50,"Chopin: Nocturne No. 20 in C-Sharp Minor, Op. Posth.","Chopin: Piano Sonata No. 2, Nocturnes, Barcarolle & Scherzo",2000
Frédéric Chopin,75,classical,50,"Chopin: Nocturne No. 20 in C-Sharp Minor, Op. Posth.","Chopin: Piano Sonata No. 2, Nocturnes, Barcarolle & Scherzo",2000
Ludwig van Beethoven,73,classical,50,"Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight"": I. Adagio sostenuto","Beethoven: Piano Sonatas, Vol. 3",2007
Ludwig van Beethoven,73,classical piano,50,"Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight"": I. Adagio sostenuto","Beethoven: Piano Sonatas, Vol. 3",2007
Ludwig van Beethoven,73,chamber music,50,"Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight"": I. Adagio sostenuto","Beethoven: Piano Sonatas, Vol. 3",2007
Andrea Bocelli,71,opera,50,Con Te Partirò,Bocelli (Remastered),1995
