nombre,popularidad,genero,cantidad_albumes,mejor_pista,album_mejor_pista,año_mejor_pista
Lula Bertoldi,25,folklore argentino,0,Los Amanecidos,Mujer de Albahaca,2024
Koufequin,25,lullaby,3,El Tiburón Kanishka,El Tiburón Kanishka,2019
Mad,19,argentine rock,6,Pajarito On the Rocks,En Llamas,2001
Vanthra,20,argentine rock,1,Ella Vendrá,Ella Vendrá - Single,2018
Zorra,14,groove metal,2,El Corso de la Gran Mentira,El Corso de la Gran Mentira,2024
Zorra,14,argentine rock,2,El Corso de la Gran Mentira,El Corso de la Gran Mentira,2024
Keyto,33,anime rap,0,Judas. Gojo vs Sukuna Rap,Judas. Gojo vs Sukuna Rap,2024
Against,17,groove metal,4,El Libertador,Nueva Cultura Pesada,2019
Oliver,16,hardcore punk,5,As del Bate,El Mejor Superpoder Es la Teletransportacion,2014
Oliver,16,emocore,5,As del Bate,El Mejor Superpoder Es la Teletransportacion,2014
Skapaltata,28,christian rock,4,Lázaro,Skalectrico,2006
Skapaltata,28,ska,4,Lázaro,Skalectrico,2006
Renacer,22,power metal,12,Entre La Gloria Y La Traición,Renacer,2002
Renacer,22,heavy metal,12,Entre La Gloria Y La Traición,Renacer,2002
Renacer,22,folk metal,12,Entre La Gloria Y La Traición,Renacer,2002
Shisui,32,anime rap,0,Rap de Tapion,Rap de Tapion,2019
Pilsen,18,punk,5,Pogo en el Ascensor,Bajo Otra Bandera,1993
Pilsen,18,argentine rock,5,Pogo en el Ascensor,Bajo Otra Bandera,1993
Ian,19,christian rock,2,Latinoamérica,En Tiempos de Redencion,2006
Zoah,14,post-hardcore,1,Esto Va a Doler Mañana,"La Verdad, el Deseo y lo Que Buscamos Ser",2015
Corvex,18,argentine rock,0,MUY CANSADO ESTOY,MUY CANSADO ESTOY,2025
Corvex,18,christian rock,0,MUY CANSADO ESTOY,MUY CANSADO ESTOY,2025
WRRN,24,screamo,1,Balvanera,¿Qué Se Siente Estar Mejor?,2023
WRRN,24,emocore,1,Balvanera,¿Qué Se Siente Estar Mejor?,2023
WRRN,24,melodic hardcore,1,Balvanera,¿Qué Se Siente Estar Mejor?,2023
WRRN,24,post-hardcore,1,Balvanera,¿Qué Se Siente Estar Mejor?,2023
Nueva Etica,19,hardcore,3,El Tiempo Es Ahora,3L1T3,2022
Nueva Etica,19,hardcore punk,3,El Tiempo Es Ahora,3L1T3,2022
Azeroth,16,power metal,7,En Agonía,Azeroth,2000
T&K,20,boom bap,0,Low La,Low La,2020
Avernal,18,grindcore,8,Hoy Podes Pudrirte,El Sangriento,2006
Avernal,18,death metal,8,Hoy Podes Pudrirte,El Sangriento,2006
Tango,25,argentine rock,1,Amor de Primavera,Tango,1972
ARGENTO metal,2,thrash metal,3,Flores negras,Psicosis,2023
Lovorne,17,argentine rock,6,Que Pasa por Mi Cabeza,"Sexo, Fierros y Rock and Roll",2007
Boanerges,21,christian rock,7,Salmo 96,Señales Antes del Fin,2018
Boanerges,21,power metal,7,Salmo 96,Señales Antes del Fin,2018
Undermine,13,groove metal,3,Apetito por la Velocidad,Apetito por la Velocidad,2025
Byaki,29,anime rap,0,Los 7 Pecados Capitales Vs El Rey Demonio. Nanatsu No Taizai Rap,Los 7 Pecados Capitales Vs El Rey Demonio. Nanatsu No Taizai Rap,2021
Byaki,29,anime,0,Los 7 Pecados Capitales Vs El Rey Demonio. Nanatsu No Taizai Rap,Los 7 Pecados Capitales Vs El Rey Demonio. Nanatsu No Taizai Rap,2021
Tungsteno,13,thrash metal,3,Escuadron Del Thrash,Inminente Aniquilacion,2023
Tungsteno,13,speed metal,3,Escuadron Del Thrash,Inminente Aniquilacion,2023
V 48,13,hardcore,0,Argentina Hardcore,Argentina Hardcore,2022
V 48,13,hardcore punk,0,Argentina Hardcore,Argentina Hardcore,2022
Gatos Sucios,15,punk,11,Hippie Jimmy,Locura General,1993
