nombre,popularidad,genero,cantidad_albumes,mejor_pista,album_mejor_pista,año_mejor_pista
Damas Gratis,63,cumbia,15,Costumbres - Vivo,Costumbres (Vivo),2022
Damas Gratis,63,cuarteto,15,Costumbres - Vivo,Costumbres (Vivo),2022
Rodrigo,59,cuarteto,19,Ocho Cuarenta,Cuarteteando,1998
Rodrigo,59,cumbia,19,Ocho Cuarenta,Cuarteteando,1998
ROSALÍA,78,latin,4,New Woman (feat. ROSALÍA),Alter Ego,2025
Cristian Castro,74,latin pop,20,No Podras,Agua Nueva,1992
Prince Royce,77,bachata,10,Corazón Sin Cara,Prince Royce,2010
Prince Royce,77,latin,10,Corazón Sin Cara,Prince Royce,2010
Prince Royce,77,bachata pop,10,Corazón Sin Cara,Prince Royce,2010
Avicii,84,edm,7,Wake Me Up,True,2013
OneRepublic,85,soft pop,12,Counting Stars,Native,2013
La Oreja de Van Gogh,74,latin pop,16,Rosas,Lo Que Te Conte Mientras Te Hacias La Dormida,2003
Marc Anthony,79,salsa,20,Volver,Volver,2025
Marc Anthony,79,salsa romantica,20,Volver,Volver,2025
Marc Anthony,79,merengue,20,Volver,Volver,2025
Marc Anthony,79,bachata,20,Volver,Volver,2025
Marc Anthony,79,latin,20,Volver,Volver,2025
Marama,61,cumbia,3,"Hasta La Luna (feat. Meri Deal, Marama) - Remix","Hasta La Luna (feat. Meri Deal, Marama) [Remix]",2024
Marama,61,cuarteto,3,"Hasta La Luna (feat. Meri Deal, Marama) - Remix","Hasta La Luna (feat. Meri Deal, Marama) [Remix]",2024
Tiësto,83,edm,50,Thank You (Not So Bad),Thank You (Not So Bad),2023
Tiësto,83,trance,50,Thank You (Not So Bad),Thank You (Not So Bad),2023
Tiësto,83,big room,50,Thank You (Not So Bad),Thank You (Not So Bad),2023
Tiësto,83,house,50,Thank You (Not So Bad),Thank You (Not So Bad),2023
Tiësto,83,dance,50,Thank You (Not So Bad),Thank You (Not So Bad),2023
Nestor En Bloque,60,cumbia,14,Una Calle Nos Separa,Mi Único Amor,2004
Nestor En Bloque,60,cuarteto,14,Una Calle Nos Separa,Mi Único Amor,2004
Camila,75,latin pop,9,Todo Cambió,Todo Cambio,2006
Jesse & Joy,75,latin pop,13,Dueles,Un Besito Más,2015
ROSÉ,84,k-pop,1,APT.,rosie,2024
Jimin,83,k-pop,3,Who,MUSE,2024
Snoop Dogg,84,g-funk,38,"Young, Wild & Free (feat. Bruno Mars)","Young, Wild & Free (feat. Bruno Mars)",2011
Snoop Dogg,84,west coast hip hop,38,"Young, Wild & Free (feat. Bruno Mars)","Young, Wild & Free (feat. Bruno Mars)",2011
Snoop Dogg,84,gangster rap,38,"Young, Wild & Free (feat. Bruno Mars)","Young, Wild & Free (feat. Bruno Mars)",2011
Snoop Dogg,84,hip hop,38,"Young, Wild & Free (feat. Bruno Mars)","Young, Wild & Free (feat. Bruno Mars)",2011
Snoop Dogg,84,rap,38,"Young, Wild & Free (feat. Bruno Mars)","Young, Wild & Free (feat. Bruno Mars)",2011
Marshmello,83,edm,5,Happier,Happier,2018
50 Cent,85,east coast hip hop,7,In Da Club,Get Rich Or Die Tryin',2003
Ricky Martin,74,latin pop,15,Livin' la Vida Loca,Ricky Martin,1999
Ricky Martin,74,latin,15,Livin' la Vida Loca,Ricky Martin,1999
Luis Fonsi,76,latin,16,Despacito,VIDA,2019
Sean Paul,84,dancehall,11,No Lie,Mad Love The Prequel,2018
Wiz Khalifa,84,rap,35,The Thrill,The Thrill (feat. Empire of the Sun),2020
Jin,81,k-pop,6,Running Wild,Happy - :') (Remixes),2024
Jung Kook,82,k-pop,2,Seven (feat. Latto) (Explicit Ver.),GOLDEN,2023
Juan Luis Guerra 4.40,77,merengue,24,Cuando Me Enamoro,Euphoria,2010
Juan Luis Guerra 4.40,77,bachata,24,Cuando Me Enamoro,Euphoria,2010
Juan Luis Guerra 4.40,77,salsa,24,Cuando Me Enamoro,Euphoria,2010
j-hope,80,k-pop,3,MONA LISA,MONA LISA,2025
j-hope,80,k-rap,3,MONA LISA,MONA LISA,2025
Becky G,78,reggaeton,4,MAMIII,ESQUEMAS,2022
Becky G,78,latin,4,MAMIII,ESQUEMAS,2022
Rodrigo Tapari,60,cumbia,6,Es Tan Grande Este Amor,Es Tan Grande Este Amor,2019
Rodrigo Tapari,60,cuarteto,6,Es Tan Grande Este Amor,Es Tan Grande Este Amor,2019
JAY-Z,85,hip hop,22,Empire State Of Mind,The Blueprint 3,2009
JAY-Z,85,east coast hip hop,22,Empire State Of Mind,The Blueprint 3,2009
JAY-Z,85,rap,22,Empire State Of Mind,The Blueprint 3,2009
Pushi,58,cumbia,0,Si Esta Casa Hablara,Si Esta Casa Hablara,2023
Pushi,58,cuarteto,0,Si Esta Casa Hablara,Si Esta Casa Hablara,2023
Pushi,58,rkt,0,Si Esta Casa Hablara,Si Esta Casa Hablara,2023
Pushi,58,turreo,0,Si Esta Casa Hablara,Si Esta Casa Hablara,2023
Ha*Ash,77,latin pop,11,Lo Aprendí de Ti - HA-ASH Primera Fila - Hecho Realidad [En Vivo],HA-ASH Primera Fila - Hecho Realidad,2014
Zoe Gotusso,58,latin indie,2,Carta Para No Llorar,Carta Para No Llorar,2023
Carlos Rivera,72,latin pop,13,Que Lo Nuestro Se Quede Nuestro,Yo Creo,2016
David Bisbal,71,latin pop,24,Dígale,Corazon Latino,2002
Coti,62,argentine rock,11,Color Esperanza 2020,Color Esperanza 2020,2020
Coti,62,latin pop,11,Color Esperanza 2020,Color Esperanza 2020,2020
Roze Oficial,58,rkt,1,ROZE | DJ TAO Turreo Sessions #22,ROZE | DJ TAO Turreo Sessions #22,2023
Roze Oficial,58,turreo,1,ROZE | DJ TAO Turreo Sessions #22,ROZE | DJ TAO Turreo Sessions #22,2023
Roze Oficial,58,cumbia,1,ROZE | DJ TAO Turreo Sessions #22,ROZE | DJ TAO Turreo Sessions #22,2023
Roze Oficial,58,cuarteto,1,ROZE | DJ TAO Turreo Sessions #22,ROZE | DJ TAO Turreo Sessions #22,2023
Alan Gomez,61,rkt,1,TURRA,TURRA,2021
Alan Gomez,61,turreo,1,TURRA,TURRA,2021
