nombre,popularidad,genero,cantidad_albumes,mejor_pista,album_mejor_pista,año_mejor_pista
Pinky SD,77,cuarteto,41,Si No Es Muy Tarde - Versión Cumbia,Si No Es Muy Tarde - Versión Cumbia,2025
Pinky SD,77,cumbia,41,Si No Es Muy Tarde - Versión Cumbia,Si No Es Muy Tarde - Versión Cumbia,2025
Emilia,79,argentine trap,3,blackout 🧊,blackout 🧊,2025
Rauw Alejandro,91,reggaeton,8,Qué Pasaría...,Cosa Nuestra,2024
Rauw Alejandro,91,urbano latino,8,Qué Pasaría...,Cosa Nuestra,2024
Rauw Alejandro,91,trap latino,8,Qué Pasaría...,Cosa Nuestra,2024
Rauw Alejandro,91,latin,8,Qué Pasaría...,Cosa Nuestra,2024
Feid,89,reggaeton,10,LUNA,FERXXOCALIPSIS,2023
Feid,89,urbano latino,10,LUNA,FERXXOCALIPSIS,2023
Maria Becerra,79,argentine trap,2,RAMEN PARA DOS,RAMEN PARA DOS,2025
Ozuna,88,reggaeton,9,Se Preparó,Odisea,2017
Ozuna,88,trap latino,9,Se Preparó,Odisea,2017
Ozuna,88,latin,9,Se Preparó,Odisea,2017
Ozuna,88,urbano latino,9,Se Preparó,Odisea,2017
TINI,79,latin pop,7,blackout 🧊,blackout 🧊,2025
Lady Gaga,94,art pop,17,Die With A Smile,MAYHEM,2025
Lady Gaga,94,pop,17,Die With A Smile,MAYHEM,2025
Babasonicos,71,argentine rock,24,Como Eran Las Cosas,Mucho,2008
Babasonicos,71,rock en español,24,Como Eran Las Cosas,Mucho,2008
Babasonicos,71,latin rock,24,Como Eran Las Cosas,Mucho,2008
Babasonicos,71,latin alternative,24,Como Eran Las Cosas,Mucho,2008
Drake,97,rap,18,NOKIA,$ome $exy $ongs 4 U,2025
Shakira,88,latin pop,19,Hips Don't Lie (feat. Wyclef Jean),"Oral Fixation, Vol. 2 (Expanded Edition)",2005
La T y La M,71,cumbia,3,Amor de Vago,Amor de Vago,2024
La T y La M,71,cuarteto,3,Amor de Vago,Amor de Vago,2024
La T y La M,71,rkt,3,Amor de Vago,Amor de Vago,2024
La T y La M,71,turreo,3,Amor de Vago,Amor de Vago,2024
Ke Personajes,74,cumbia,1,Piel,GOTTI A,2024
Ke Personajes,74,cuarteto,1,Piel,GOTTI A,2024
Bizarrap,81,argentine trap,0,"Quevedo: Bzrp Music Sessions, Vol. 52","Quevedo: Bzrp Music Sessions, Vol. 52",2022
Bizarrap,81,trap latino,0,"Quevedo: Bzrp Music Sessions, Vol. 52","Quevedo: Bzrp Music Sessions, Vol. 52",2022
Bizarrap,81,urbano latino,0,"Quevedo: Bzrp Music Sessions, Vol. 52","Quevedo: Bzrp Music Sessions, Vol. 52",2022
Ovy On The Drums,85,reggaeton,0,La Plena - W Sound 05,La Plena (W Sound 05),2025
Ariana Grande,93,pop,17,we can't be friends (wait for your love),eternal sunshine,2024
Morat,83,colombian pop,7,Cuando Nadie Ve,Balas Perdidas,2018
Morat,83,latin pop,7,Cuando Nadie Ve,Balas Perdidas,2018
Maluma,87,reggaeton,11,+57,+57,2024
Maluma,87,latin,11,+57,+57,2024
Maluma,87,urbano latino,11,+57,+57,2024
Andrés Calamaro,72,argentine rock,30,Flaca,Alta Suciedad,1997
Andrés Calamaro,72,rock en español,30,Flaca,Alta Suciedad,1997
Andrés Calamaro,72,latin rock,30,Flaca,Alta Suciedad,1997
Miranda!,73,latin pop,21,Perfecta,El Templo del Pop,2008
The La Planta,69,cumbia,0,Hoy,Hoy,2024
The La Planta,69,rkt,0,Hoy,Hoy,2024
The La Planta,69,cuarteto,0,Hoy,Hoy,2024
The La Planta,69,turreo,0,Hoy,Hoy,2024
Romeo Santos,85,bachata,8,Khé?,Cosa Nuestra,2024
Romeo Santos,85,bachata pop,8,Khé?,Cosa Nuestra,2024
Romeo Santos,85,latin,8,Khé?,Cosa Nuestra,2024
Dua Lipa,89,pop,8,Cold Heart - PNAU Remix,The Lockdown Sessions,2021
Angela Leiva,66,cuarteto,10,Llamadas Extrañas,ANGELA LEIVA / Zapada EN VIVO en UN POCO DE RUIDO (En Vivo),2024
Angela Leiva,66,cumbia,10,Llamadas Extrañas,ANGELA LEIVA / Zapada EN VIVO en UN POCO DE RUIDO (En Vivo),2024
Don Omar,85,reggaeton,12,Danza Kuduro,Meet The Orphans,2010
Don Omar,85,urbano latino,12,Danza Kuduro,Meet The Orphans,2010
Abel Pintos,68,folklore argentino,14,QUE ME FALTE TODO,QUE NOS FALTE TODO,2024
Abel Pintos,68,cuarteto,14,QUE ME FALTE TODO,QUE NOS FALTE TODO,2024
Camilo,82,colombian pop,5,Una Vida Pasada,cuatro,2024
Camilo,82,pop urbano,5,Una Vida Pasada,cuatro,2024
Sech,81,reggaeton,10,Priti,Priti,2025
Sech,81,urbano latino,10,Priti,Priti,2025
David Guetta,90,edm,16,I'm Good (Blue),I'm Good (Blue),2022
David Guetta,90,dance,16,I'm Good (Blue),I'm Good (Blue),2022
Manuel Turizo,84,reggaeton,4,En Privado,En Privado,2025
Manuel Turizo,84,pop urbano,4,En Privado,En Privado,2025
Manuel Turizo,84,latin,4,En Privado,En Privado,2025
Manuel Turizo,84,colombian pop,4,En Privado,En Privado,2025
SZA,93,r&b,7,luther (with sza),GNX,2024
Ed Sheeran,90,soft pop,18,Azizam,Azizam,2025
Luísa Sonza,77,brazilian pop,4,bunda 🍑,bunda 🍑,2025
Luísa Sonza,77,funk pop,4,bunda 🍑,bunda 🍑,2025
Luísa Sonza,77,funk,4,bunda 🍑,bunda 🍑,2025
Salastkbron,66,rkt,0,Tengo Una Cadena,Tengo Una Cadena,2025
Salastkbron,66,turreo,0,Tengo Una Cadena,Tengo Una Cadena,2025
Salastkbron,66,guaracha,0,Tengo Una Cadena,Tengo Una Cadena,2025
Sebastian Yatra,81,colombian pop,4,Vagabundo,Milagro,2025
Sebastian Yatra,81,reggaeton,4,Vagabundo,Milagro,2025
Ricardo Arjona,77,latin pop,25,Fuiste Tú,Independiente,2011
Danny Ocean,82,reggaeton,5,Imagínate,Imagínate,2024
BTS,87,k-pop,21,FAKE LOVE,Love Yourself 轉 'Tear',2018
Maroon 5,88,pop,16,Payphone,Overexposed Track By Track,2012
Luis Miguel,83,mariachi,32,Ahora Te Puedes Marchar,Soy Como Quiero Ser,1987
Luis Miguel,83,bolero,32,Ahora Te Puedes Marchar,Soy Como Quiero Ser,1987
Luis Miguel,83,latin pop,32,Ahora Te Puedes Marchar,Soy Como Quiero Ser,1987
Alejandro Sanz,80,latin pop,27,Amiga mía,Más,1997
Calvin Harris,88,edm,7,We Found Love,Talk That Talk,2011
Karina,63,cumbia,10,SINVERGÜENZA - con Angela Torres,SINVERGÜENZA - con Angela Torres,2023
Karina,63,cuarteto,10,SINVERGÜENZA - con Angela Torres,SINVERGÜENZA - con Angela Torres,2023
Reik,78,latin pop,9,Yo Quisiera,Reik,2005
Adele,86,soft pop,4,Set Fire to the Rain,21,2011
